FILENAME	Isolate	PubMLSTID	Accn1	Country	Continent	Region	Year	Source	DetailedSource	Serogroup	cgST(cgMLST)	Threshold7(outbreak)	Threshold133(sublineage)	Biotype	Completeness(%)	"ST(Kirchbergeretal.,2016)"	ST(Octaviaetal2013)
GCF_000348125.2_ASM34812v2.fasta	Vc_AG-7404	1553	GCA_000348125.2	Bangladesh	Asia			human	clinical	O1	108	43	6	El Tor	98.40360213	1	69
GCF_000348145.2_ASM34814v2.fasta	Vc_AG-8040	1554	GCA_000348145.2	Bangladesh	Asia			human	clinical	O1	437	43	6	El Tor	99.87720016	1	69
GCF_002099125.1_ASM209912v1.fasta	Vc_CISM_0005	1613	GCA_002099125.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	260	44	6	El Tor	100	1	69
GCF_002099115.1_ASM209911v1.fasta	Vc_CISM_0008	1614	GCA_002099115.1	Mozambique	Africa	Manhica	2005	environmental		O1	114	44	6	El Tor	100	1	69
GCF_002099095.1_ASM209909v1.fasta	Vc_CISM_0010	1615	GCA_002099095.1	Mozambique	Africa	Manhica	2002	environmental		O1	374	44	6	El Tor	100	1	69
GCF_002099065.1_ASM209906v1.fasta	Vc_CISM_0014	1616	GCA_002099065.1	Mozambique	Africa	Manhica	2002	environmental		O1	235	44	6	El Tor	100	1	69
GCF_002099055.1_ASM209905v1.fasta	Vc_CISM_0015	1617	GCA_002099055.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	114	44	6	El Tor	99.95906672	1	69
GCF_002099035.1_ASM209903v1.fasta	Vc_CISM_0016	1618	GCA_002099035.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	136	44	6	El Tor	100	1	69
GCF_002099015.1_ASM209901v1.fasta	Vc_CISM_0017	1619	GCA_002099015.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	136	44	6	El Tor	100	1	69
GCF_002098995.1_ASM209899v1.fasta	Vc_CISM_0018	1620	GCA_002098995.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	41	44	6	El Tor	100	1	69
GCF_002098965.1_ASM209896v1.fasta	Vc_CISM_0019	1621	GCA_002098965.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098955.1_ASM209895v1.fasta	Vc_CISM_0034	1622	GCA_002098955.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098935.1_ASM209893v1.fasta	Vc_CISM_0035	1623	GCA_002098935.1	Mozambique	Africa	Manhica	2002	human	clinical	O1	486	44	6	El Tor	100	1	69
GCF_002098915.1_ASM209891v1.fasta	Vc_CISM_0074	1624	GCA_002098915.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098875.1_ASM209887v1.fasta	Vc_CISM_0079	1625	GCA_002098875.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	178	44	6	El Tor	100	1	69
GCF_002098885.1_ASM209888v1.fasta	Vc_CISM_0091	1627	GCA_002098885.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	295	44	6	El Tor	100	1	69
GCF_002098845.1_ASM209884v1.fasta	Vc_CISM_091	1626	GCA_002098845.1	Mozambique	Africa	Manhica		human	clinical	O1	128	44	6	El Tor	99.95906672	1	69
GCF_002098835.1_ASM209883v1.fasta	Vc_CISM_100	1628	GCA_002098835.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	114	44	6	El Tor	99.91813344	1	69
GCF_002098765.1_ASM209876v1.fasta	Vc_CISM_101	1629	GCA_002098765.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	530	44	6	El Tor	100	1	69
GCF_002098805.1_ASM209880v1.fasta	Vc_CISM_1019828.5	1677	GCA_002098805.1	Mozambique	Africa	Manhica	2010	human	clinical	O1	236	44	6	El Tor	100	1	69
GCF_002098795.1_ASM209879v1.fasta	Vc_CISM_1019829.2	1678	GCA_002098795.1	Mozambique	Africa	Manhica	2010	human	clinical	O1	126	44	6	El Tor	100	1	69
GCF_002098755.1_ASM209875v1.fasta	Vc_CISM_1020229.6	1679	GCA_002098755.1	Mozambique	Africa	Manhica	2010	human	clinical	O1	126	44	6	El Tor	100	1	69
GCF_002098715.1_ASM209871v1.fasta	Vc_CISM_1020231.9	1680	GCA_002098715.1	Mozambique	Africa	Manhica	2010	human	clinical	O1	338	44	6	El Tor	100	1	69
GCF_002098705.1_ASM209870v1.fasta	Vc_CISM_1020234.0	1681	GCA_002098705.1	Mozambique	Africa	Manhica	2010	human	clinical	O1	126	44	6	El Tor	100	1	69
GCF_002098695.1_ASM209869v1.fasta	Vc_CISM_105	1630	GCA_002098695.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	138	44	6	El Tor	100	1	69
GCF_002098675.1_ASM209867v1.fasta	Vc_CISM_120	1631	GCA_002098675.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	82	44	6	El Tor	100	1	69
GCF_002098655.1_ASM209865v1.fasta	Vc_CISM_121	1632	GCA_002098655.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098605.1_ASM209860v1.fasta	Vc_CISM_122	1633	GCA_002098605.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	441	44	6	El Tor	100	1	69
GCF_002098625.1_ASM209862v1.fasta	Vc_CISM_134	1634	GCA_002098625.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	94	44	6	El Tor	100	1	69
GCF_002098595.1_ASM209859v1.fasta	Vc_CISM_146	1635	GCA_002098595.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	228	44	6	El Tor	100	1	69
GCF_002098555.1_ASM209855v1.fasta	Vc_CISM_147	1636	GCA_002098555.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	94	44	6	El Tor	99.95906672	1	69
GCF_002098525.1_ASM209852v1.fasta	Vc_CISM_151	1637	GCA_002098525.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	247	44	6	El Tor	99.95906672	1	69
GCF_002098495.1_ASM209849v1.fasta	Vc_CISM_152	1638	GCA_002098495.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	136	44	6	El Tor	100	1	69
GCF_002098535.1_ASM209853v1.fasta	Vc_CISM_153	1639	GCA_002098535.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	5	44	6	El Tor	100	1	69
GCF_002098515.1_ASM209851v1.fasta	Vc_CISM_154	1640	GCA_002098515.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	486	44	6	El Tor	100	1	69
GCF_002098445.1_ASM209844v1.fasta	Vc_CISM_178	1641	GCA_002098445.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	37	44	6	El Tor	100	1	69
GCF_002098435.1_ASM209843v1.fasta	Vc_CISM_179	1642	GCA_002098435.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	474	44	6	El Tor	100	1	69
GCF_002098415.1_ASM209841v1.fasta	Vc_CISM_188	1643	GCA_002098415.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	201	44	6	El Tor	99.95906672	1	69
GCF_002098425.1_ASM209842v1.fasta	Vc_CISM_189	1644	GCA_002098425.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	31	44	6	El Tor	100	1	69
GCF_002098365.1_ASM209836v1.fasta	Vc_CISM_191	1645	GCA_002098365.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	467	44	6	El Tor	100	1	69
GCF_002098355.1_ASM209835v1.fasta	Vc_CISM_196	1646	GCA_002098355.1	Mozambique	Africa	Manhica	2003	human	clinical	O1	94	44	6	El Tor	100	1	69
GCF_002098305.1_ASM209830v1.fasta	Vc_CISM_296	1647	GCA_002098305.1	Mozambique	Africa	Manhica		human	clinical	O1	553	44	6	El Tor	100	1	69
GCF_002098295.1_ASM209829v1.fasta	Vc_CISM_300043	1659	GCA_002098295.1	Mozambique	Africa	Manhica	2008	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098345.1_ASM209834v1.fasta	Vc_CISM_300208	1662	GCA_002098345.1	Mozambique	Africa	Manhica	2008	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098335.1_ASM209833v1.fasta	Vc_CISM_300209	1663	GCA_002098335.1	Mozambique	Africa	Manhica	2008	human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098255.1_ASM209825v1.fasta	Vc_CISM_300215	1664	GCA_002098255.1	Mozambique	Africa	Manhica	2008	human	clinical	O1	1	44	6	El Tor	100	1	69
GCF_002098225.1_ASM209822v1.fasta	Vc_CISM_302015	1666	GCA_002098225.1	Mozambique	Africa	Manhica	2009	human	clinical	O1	150	44	6	El Tor	100	1	69
GCF_002098235.1_ASM209823v1.fasta	Vc_CISM_302029	1667	GCA_002098235.1	Mozambique	Africa	Manhica	2009	human	clinical	O1	94	44	6	El Tor	100	1	69
GCF_002098215.1_ASM209821v1.fasta	Vc_CISM_326	1648	GCA_002098215.1	Mozambique	Africa	Manhica		human	clinical	O1	570	44	6	El Tor	100	1	69
GCF_002098195.1_ASM209819v1.fasta	Vc_CISM_347	1649	GCA_002098195.1	Mozambique	Africa	Manhica		human	clinical	O1	114	44	6	El Tor	100	1	69
GCF_002098155.1_ASM209815v1.fasta	Vc_CISM_374	1650	GCA_002098155.1	Mozambique	Africa	Manhica		human	clinical	O1	218	44	6	El Tor	100	1	69
GCF_002098145.1_ASM209814v1.fasta	Vc_CISM_375	1651	GCA_002098145.1	Mozambique	Africa	Manhica		human	clinical	O1	1	44	6	El Tor	100	1	69
GCF_002098135.1_ASM209813v1.fasta	Vc_CISM_382	1652	GCA_002098135.1	Mozambique	Africa	Manhica		human	clinical	O1	1	44	6	El Tor	100	1	69
GCF_002098085.1_ASM209808v1.fasta	Vc_CISM_398	1653	GCA_002098085.1	Mozambique	Africa	Manhica		human	clinical	O1	261	44	6	El Tor	99.95906672	1	69
GCF_002098075.1_ASM209807v1.fasta	Vc_CISM_399	1654	GCA_002098075.1	Mozambique	Africa	Manhica		human	clinical	O1	244	44	6	El Tor	100	1	69
GCF_002098055.1_ASM209805v1.fasta	Vc_CISM_420	1655	GCA_002098055.1	Mozambique	Africa	Manhica		human	clinical	O1	82	44	6	El Tor	100	1	69
GCF_002098065.1_ASM209806v1.fasta	Vc_CISM_505	1656	GCA_002098065.1	Mozambique	Africa	Manhica		human	clinical	O1	404	44	6	El Tor	100	1	69
GCF_002098005.1_ASM209800v1.fasta	Vc_CISM_510	1657	GCA_002098005.1	Mozambique	Africa	Manhica		human	clinical	O1	202	44	6	El Tor	100	1	69
GCF_002097985.1_ASM209798v1.fasta	Vc_CISM_511	1658	GCA_002097985.1	Mozambique	Africa	Manhica		human	clinical	O1	500	44	6	El Tor	100	1	69
GCF_002097975.1_ASM209797v1.fasta	Vc_CISM_655630.3	1668	GCA_002097975.1	Mozambique	Africa	Manhica		human	clinical	O1	231	44	6	El Tor	100	1	69
GCF_002097995.1_ASM209799v1.fasta	Vc_CISM_655664.3	1669	GCA_002097995.1	Mozambique	Africa	Manhica		human	clinical	O1	165	44	6	El Tor	100	1	69
GCF_002097925.1_ASM209792v1.fasta	Vc_CISM_655665.0	1670	GCA_002097925.1	Mozambique	Africa	Manhica		human	clinical	O1	165	44	6	El Tor	100	1	69
GCF_002097895.1_ASM209789v1.fasta	Vc_CISM_710180.8	1671	GCA_002097895.1	Mozambique	Africa	Manhica		human	clinical	O1	217	44	6	El Tor	99.95906672	1	69
GCF_002097905.1_ASM209790v1.fasta	Vc_CISM_740115.4	1672	GCA_002097905.1	Mozambique	Africa	Manhica		human	clinical	O1	279	44	6	El Tor	100	1	69
GCF_002097915.1_ASM209791v1.fasta	Vc_CISM_769845.7	1673	GCA_002097915.1	Mozambique	Africa	Manhica		human	clinical	O1	332	44	6	El Tor	100	1	69
GCF_002097845.1_ASM209784v1.fasta	Vc_CISM_770067.4	1674	GCA_002097845.1	Mozambique	Africa	Manhica		human	clinical	O1	34	44	6	El Tor	100	1	69
GCF_002097835.1_ASM209783v1.fasta	Vc_CISM_770180.8	1675	GCA_002097835.1	Mozambique	Africa	Manhica		human	clinical	O1	378	44	6	El Tor	99.95906672	1	69
GCF_002097825.1_ASM209782v1.fasta	Vc_CISM_780298.0	1676	GCA_002097825.1	Mozambique	Africa	Manhica		human	clinical	O1	210	44	6	El Tor	100	1	69
GCF_002097765.1_ASM209776v1.fasta	Vc_CISM_S_Nida	1683	GCA_002097765.1	Mozambique	Africa			human	clinical	O1	94	44	6	El Tor	100	1	69
GCF_001860365.1_ASM186036v1.fasta	Vc_CMR012	1684	GCA_001860365.1	Cameroon	Africa		2011			O1	70	283	6	El Tor	97.91240278	1	69
GCF_001860465.1_ASM186046v1.fasta	Vc_CMR017	1685	GCA_001860465.1	Cameroon	Africa		2011			O1	415	56	6	El Tor	99.18133442	1	69
GCF_001858475.1_ASM185847v1.fasta	Vc_CMR019	1686	GCA_001858475.1	Cameroon	Africa					O1	296	56	6	El Tor	99.26320098	1	69
GCF_001858465.1_ASM185846v1.fasta	Vc_CMR022	1687	GCA_001858465.1	Cameroon	Africa		2011			O1	465	56	6	El Tor	97.78960295	1	69
GCF_000279555.1_ASM27955v1.fasta	Vc_CP1030(3)	2454	GCA_000279555.1	Mexico	North America	Missing				O1	854	33	6	El Tor	99.54973393	1	69
GCF_000279305.1_ASM27930v1.fasta	Vc_CP1032(5)	1688	GCA_000279305.1	Mexico	North America		1991	human	clinical	O1	694	195	6	El Tor	99.83626688	1	69
GCF_000304755.1_ASM30475v1.fasta	Vc_CP1033(6)	1689	GCA_000304755.1	Mexico	North America		2000	human	clinical	O1	808	38	6	El Tor	99.67253377	1	69
GCF_000279325.1_ASM27932v1.fasta	Vc_CP1038(11)	1690	GCA_000279325.1	Zimbabwe	Africa		2009	human	clinical	O1	933	44	6	El Tor	99.95906672	1	69
GCF_000279245.1_ASM27924v1.fasta	Vc_CP1041(14)	1691	GCA_000279245.1	Zambia	Africa		2004	human	clinical	O1	648	180	6	El Tor	99.71346705	1	515
GCF_000279345.1_ASM27934v1.fasta	Vc_CP1042(15)	1692	GCA_000279345.1	Thailand	Asia		2010	human	clinical	O1	879	13	6	El Tor	100	1	69
GCF_000303045.1_ASM30304v1.fasta	Vc_CP1044(17)	2457	GCA_000303045.1	Mexico	North America	Missing				O1	690	288	6	El Tor	99.34506754	1	69
GCF_000281655.1_ASM28165v1.fasta	Vc_CP1046(19)	1693	GCA_000281655.1	Peru	South America		1995	human	clinical	O1	827	174	6	El Tor	99.59066721	1	69
GCF_000279395.1_ASM27939v1.fasta	Vc_CP1048(21)	1694	GCA_000279395.1	Bangladesh	Asia		2010	human	clinical	O1	668	1	6	El Tor	99.87720016	1	69
GCF_000487955.1_E306v1.fasta	Vc_E306	1707	GCA_000487955.1	China	Asia	Beijing		human	clinical	O139	252	64	6	El Tor	100	1	69
GCF_002749635.1_ASM274963v1.fasta	Vc_E7946	2096	GCA_002749635.1	Bahrain	Asia	Missing	1978	human	clinical		613	226	6	El Tor	100	1	69
GCF_000348165.2_ASM34816v2.fasta	Vc_EC-0009	1712	GCA_000348165.2	Bangladesh	Asia	Chhatak		environmental		O1	412	1	6	El Tor	100	1	69
GCF_000348185.2_ASM34818v2.fasta	Vc_EC-0012	1713	GCA_000348185.2	Bangladesh	Asia	Chhatak		environmental		O1	49	1	6	El Tor	99.83626688	1	69
GCF_000348205.2_ASM34820v2.fasta	Vc_EC-0027	1714	GCA_000348205.2	Bangladesh	Asia	Chhatak		environmental		O1	287	1	6	El Tor	99.95906672	1	69
GCF_000348225.2_ASM34822v2.fasta	Vc_EC-0051	1716	GCA_000348225.2	Bangladesh	Asia	Chhatak	2010	environmental		O1	459	33	6	El Tor	99.83626688	1	69
GCF_001282605.1_ASM128260v1.fasta	Vc_EC-051	1715	GCA_001282605.1	Bangladesh	Asia	Chhatak	2010	environmental		O1	356	33	6	El Tor	99.79533361	1	69
GCF_000348245.2_ASM34824v2.fasta	Vc_EDC-020	1717	GCA_000348245.2	Bangladesh	Asia	Dhaka		environmental		O1	325	1	6	El Tor	99.95906672	1	69
GCF_000348265.2_ASM34826v2.fasta	Vc_EDC-022	1718	GCA_000348265.2	Bangladesh	Asia	Dhaka		environmental		O1	423	5	6	El Tor	99.95906672	1	69
GCF_000348285.2_ASM34828v2.fasta	Vc_EM-1536	1719	GCA_000348285.2	Bangladesh	Asia	Mathbaria		environmental		O1	79	5	6	El Tor	99.91813344	1	69
GCF_001187255.1_ASM118725v1.fasta	Vc_EM-1542	1720	GCA_001187255.1	Bangladesh	Asia	Mathbaria	2010	environmental		O1	368	5	6	El Tor	100	1	69
GCF_001186515.1_ASM118651v1.fasta	Vc_EM-1543	1721	GCA_001186515.1	Bangladesh	Asia	Mathbaria	2010	environmental		O1	103	5	6	El Tor	99.83626688	1	69
GCF_000348305.2_ASM34830v2.fasta	Vc_EM-1546	1722	GCA_000348305.2	Bangladesh	Asia	Mathbaria		environmental		O1	452	1	6	El Tor	100	1	69
GCF_001186485.1_ASM118648v1.fasta	Vc_EM-1626	1723	GCA_001186485.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	212	39	6	El Tor	99.71346705	1	69
GCF_001186505.1_ASM118650v1.fasta	Vc_EM-1652A	1724	GCA_001186505.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	449	45	6	El Tor	99.95906672	1	69
GCF_001186575.1_ASM118657v1.fasta	Vc_EM-1654	1725	GCA_001186575.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	303	45	6	El Tor	99.95906672	1	69
GCF_001186565.1_ASM118656v1.fasta	Vc_EM-1688	1727	GCA_001186565.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	485	5	6	El Tor	99.83626688	1	69
GCF_001186595.1_ASM118659v1.fasta	Vc_EM-1690	1728	GCA_001186595.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	251	5	6	El Tor	99.95906672	1	69
GCF_001186585.1_ASM118658v1.fasta	Vc_EM-1690A	1729	GCA_001186585.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	531	5	6	El Tor	99.95906672	1	69
GCF_001186645.1_ASM118664v1.fasta	Vc_EM-1706	1730	GCA_001186645.1	Bangladesh	Asia	Mathbaria	2011	environmental		O1	2	29	6	El Tor	99.30413426	1	69
GCF_000348365.1_ASM34836v1.fasta	Vc_EM-1727	1731	GCA_000348365.1	Bangladesh	Asia	Mathbaria		environmental		O1	45	33	6	El Tor	99.83626688	1	69
GCF_009763825.1_ASM976382v1.fasta	Vc_F9993	1733	GCA_009763825.1	Unknown						Non-O1	354	14	6	El Tor	99.05853459	1	69
GCF_002194295.1_ASM219429v1.fasta	Vc_FC1105	1734	GCA_002194295.1	India	Asia	Vellore	2003	human	clinical	O139	347	324	6	El Tor	96.23413835	1	69
GCF_002194335.1_ASM219433v1.fasta	Vc_FC1225	1735	GCA_002194335.1	India	Asia	Vellore	2001	human	clinical	O139	360	16	6	El Tor	98.28080229	1	69
GCF_002194265.1_ASM219426v1.fasta	Vc_FC1341	1736	GCA_002194265.1	India	Asia	Vellore	2002	human	clinical	O139	413	156	6	El Tor	98.52640196	1	69
GCF_002194245.1_ASM219424v1.fasta	Vc_FC1384	1737	GCA_002194245.1	India	Asia	Vellore	2000	human	clinical	O139	83	278	6	El Tor	97.8714695	1	69
GCF_002194305.1_ASM219430v1.fasta	Vc_FC1817	1738	GCA_002194305.1	India	Asia	Vellore	1994	human	clinical	O139	529	151	6	El Tor	97.83053623	1	69
GCF_002194155.1_ASM219415v1.fasta	Vc_FC1877	1739	GCA_002194155.1	India	Asia	Vellore	1995	human	clinical	O139	399	326	6	El Tor	97.50307	1	69
GCF_002194235.1_ASM219423v1.fasta	Vc_FC2271	1740	GCA_002194235.1	India	Asia	Vellore	1997	human	clinical	O139	402	279	6	El Tor	97.99426934	1	69
GCF_002194215.1_ASM219421v1.fasta	Vc_FC2273	1741	GCA_002194215.1	India	Asia	Vellore	1998	human	clinical	O139	557	158	6	El Tor	98.81293492	136	69
GCF_002194165.1_ASM219416v1.fasta	Vc_FC3611a	1742	GCA_002194165.1	India	Asia	Vellore	1999	human	clinical	O139	391	21	6	El Tor	98.0761359	1	69
GCF_002194185.1_ASM219418v1.fasta	Vc_FC3611b	1743	GCA_002194185.1	India	Asia	Vellore	1997	human	clinical	O139	129	21	6	El Tor	97.46213672	1	69
GCF_002102575.1_ASM210257v1.fasta	Vc_G_33	1744	GCA_002102575.1	Guinea	Africa	Forecariah	1986	human	clinical	O1	394	287	6	El Tor	97.58493655	64	69
GCF_001254435.1_5174_7_2.fasta	Vc_GP160	1746	GCA_001254435.1	India	Asia		1980	human	clinical	O1	567	190	6	El Tor	99.79533361	1	69
GCF_000275645.1_ASM27564v1.fasta	Vc_H1	1747	GCA_000275645.1	Haiti	North America		2010	human	clinical	O1	355	3	6	El Tor	99.71346705	1	69
GCF_000234375.1_ASM23437v2.fasta	Vc_HC-06A1	1751	GCA_000234375.2	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.67253377	1	69
GCF_000304935.2_ASM30493v2.fasta	Vc_HC-17A1	1753	GCA_000304935.2	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.18133442	1	69
GCF_000305675.2_ASM30567v2.fasta	Vc_HC-17A2	1754	GCA_000305675.2	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.91813344	1	69
GCF_000234965.1_ASM23496v1.fasta	Vc_HC-19A1	1755	GCA_000234965.1	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.63160049	1	69
GCF_000279415.1_ASM27941v1.fasta	Vc_HC-20A2	1756	GCA_000279415.1	Haiti	North America		2010	human	clinical	O1	443	3	6	El Tor	99.95906672	1	69
GCF_000234925.1_ASM23492v1.fasta	Vc_HC-22A1	1757	GCA_000234925.1	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.75440033	1	69
GCF_000234395.1_ASM23439v2.fasta	Vc_HC-23A1	1758	GCA_000234395.2	Haiti	North America		2010	human	clinical	O1	194	3	6	El Tor	100	1	69
GCF_000234415.1_ASM23441v2.fasta	Vc_HC-28A1	1759	GCA_000234415.2	Haiti	North America		2010	human	clinical	O1	312	3	6	El Tor	99.71346705	1	69
GCF_000234905.1_ASM23490v1.fasta	Vc_HC-32A1	1760	GCA_000234905.1	Haiti	North America		2010	human	clinical	O1	403	3	6	El Tor	99.67253377	1	69
GCF_000234885.1_ASM23488v1.fasta	Vc_HC-33A2	1761	GCA_000234885.1	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.71346705	1	69
GCF_000234435.1_ASM23443v2.fasta	Vc_HC-43A1	1767	GCA_000234435.2	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	99.79533361	1	69
GCF_000220725.1_ASM22072v2.fasta	Vc_HC-49A2	1773	GCA_000220725.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	100	1	69
GCF_000234455.2_ASM23445v3.fasta	Vc_HC-61A1	2055	GCA_000234455.3	Haiti	North America		2010	human	clinical		317	3	6	El Tor	99.83626688	1	69
GCF_000305075.2_ASM30507v2.fasta	Vc_HC-62A1	1782	GCA_000305075.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	100	1	69
GCF_000305625.2_ASM30562v2.fasta	Vc_HC-62B1	1783	GCA_000305625.2	Haiti	North America		2010	human	clinical	O1	586	3	6	El Tor	99.63160049	1	69
GCF_000327105.3_ASM32710v3.fasta	Vc_HC-64A1	1784	GCA_000327105.3	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.87720016	1	69
GCF_000327125.3_ASM32712v3.fasta	Vc_HC-65A1	1785	GCA_000327125.3	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.79533361	1	69
GCF_000327145.3_ASM32714v3.fasta	Vc_HC-67A1	1786	GCA_000327145.3	Haiti	North America		2010	human	clinical	Non-O1	10	3	6	El Tor	99.95906672	1	69
GCF_000327165.3_ASM32716v3.fasta	Vc_HC-68A1	1787	GCA_000327165.3	Haiti	North America		2010	human	clinical	O1	359	3	6	El Tor	99.71346705	1	69
GCF_000305695.2_ASM30569v2.fasta	Vc_HC-69A1	1788	GCA_000305695.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.95906672	1	69
GCF_000221385.1_ASM22138v1.fasta	Vc_HC-70A1	1789	GCA_000221385.1	Haiti	North America		2010	human	clinical	O1	491	3	6	El Tor	99.91813344	1	69
GCF_000327185.3_ASM32718v3.fasta	Vc_HC-71A1	1790	GCA_000327185.3	Haiti	North America		2010	human	clinical	O1	227	3	6	El Tor	99.87720016	1	69
GCF_000327205.3_ASM32720v3.fasta	Vc_HC-72A2	1791	GCA_000327205.3	Haiti	North America		2010	human	clinical	O1	348	3	6	El Tor	99.87720016	1	69
GCF_000305095.2_ASM30509v2.fasta	Vc_HC-77A1	1792	GCA_000305095.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	100	1	69
GCF_000318485.2_ASM31848v2.fasta	Vc_HC-7A1	1752	GCA_000318485.2	Haiti	North America		2010	human	clinical	O1	66	3	6	El Tor	100	1	69
GCF_000327245.3_ASM32724v3.fasta	Vc_HC-80A1	1794	GCA_000327245.3	Haiti	North America		2010	human	clinical	O1	517	3	6	El Tor	99.83626688	1	69
GCF_000318505.2_ASM31850v2.fasta	Vc_HC-81A1	1795	GCA_000318505.2	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	100	1	69
GCF_000234945.1_ASM23494v1.fasta	Vc_HC21A1	2056	GCA_000234945.1	Haiti	North America		2010	human	clinical	O1	451	3	6	El Tor	99.71346705	1	69
GCF_000220745.2_ASM22074v3.fasta	Vc_HCUF01	1796	GCA_000220745.3	Haiti	North America		2010	human	clinical	O1	550	3	6	El Tor	99.91813344	1	69
GCF_000221425.1_ASM22142v1.fasta	Vc_HFU-02	1805	GCA_000221425.1	Haiti	North America		2010	human	clinical	O1	10	3	6	El Tor	99.71346705	1	69
GCF_000967785.1_ASM96778v1.fasta	Vc_I-1300	1806	GCA_000967785.1	Russia	Asia	Yuzhno-Sakhalinsk	1999	human	clinical	O1	551	290	6	El Tor	96.88907081	1	69
GCF_002078795.1_ASM207879v1.fasta	Vc_J8YRS_KAGUNGA	1809	GCA_002078795.1	Tanzania	Africa		2015	human	clinical	O1	135	2	6	El Tor	99.91813344	1	69
GCF_001318185.1_ASM131818v1.fasta	Vc_KW3	1810	GCA_001318185.1	Unknown			2010			O1	355	3	6	El Tor	99.79533361	1	69
GCF_000600255.1_Vibrio_cholerae_O1_biovar_El_Tor_str._L-3226.fasta	Vc_L-3226	1811	GCA_000600255.1	Russia	Asia	Moscow	2010	human	clinical	O1	120	37	6	El Tor	90.01227998	1	69
GCF_001517845.1_ASM151784v1.fasta	Vc_M1275	1818	GCA_001517845.1	Russia	Asia	Dagestan	1993	human	clinical	O1	124	69	6	El Tor	97.01187065	1	69
GCF_001517855.1_ASM151785v1.fasta	Vc_M1275D	1819	GCA_001517855.1	Russia	Asia	Dagestan	2015	human	clinical	O1	447	69	6	El Tor	96.97093737	1	69
GCF_001521835.1_ASM152183v1.fasta	Vc_M888	1816	GCA_001521835.1	Russia	Asia	Astrakhan	1970	human	clinical	O1	148	325	6	El Tor	93.49160868	1	NA
GCF_001617675.1_ASM161767v1.fasta	Vc_M888D	1817	GCA_001617675.1	Russia	Asia	Astrakhan	1970	human	clinical	O1	508	293	6	El Tor	95.98853868	1	69
GCF_001254355.1_5174_8_9.fasta	Vc_MG116226	1826	GCA_001254355.1	Bangladesh	Asia		1991	human	clinical	O1	241	185	6	El Tor	99.75440033	1	69
